Mecanismo de Participación Social en Guarderías,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resultados de las visitas realizadas (abril-noviembre 2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. ,Mes,OOAD,Localidad,Esquema,Número,Nombre,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Puntos máximos,Puntos alcanzados,%,No. de Padres,Horas 
17,abr-22,04CAMPECHE                           ,04002CAMPECHE,U,141,Kambul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,5,10
18,abr-22,07CHIAPAS                            ,07040HUIXTLA,U,393,"Humana de Huixtla, A.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
19,abr-22,08CHIHUAHUA                          ,08011CAMARGO,U,400,Estancia Infantil Los Peques,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,38,97.44%,3,6
20,abr-22,08CHIHUAHUA                          ,08037JUÁREZ,U,496,GUSSI    ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
21,abr-22,08CHIHUAHUA                          ,08019CHIHUAHUA,U,528,Centro Infantil Juana de Asbaje,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,3,6
22,abr-22,08CHIHUAHUA                          ,08019CHIHUAHUA,U,529,Centro Infantil Juana de Asbaje,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
23,abr-22,08CHIHUAHUA                          ,08037JUÁREZ,U,1297,Tury III,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,8,16
24,abr-22,08CHIHUAHUA                          ,08037JUÁREZ,U,1326,NENETL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
25,abr-22,08CHIHUAHUA                          ,08037JUÁREZ,U,1589,Color INN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,5,10
26,abr-22,05COAHUILA                           ,05032SAN JUAN DE SABINAS                ,U,196,El Castillo de los Sueños,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
27,abr-22,05COAHUILA                           ,05035TORREÓN,U,271,Guardería Juego y Aprendo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,5,10
28,abr-22,05COAHUILA                           ,05017MATAMOROS,U,274,"Centro de Desarrollo Infantil de la Laguna, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
29,abr-22,05COAHUILA                           ,05030SALTILLO,U,858,"Asociación de Guarderías participativas, A.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
30,abr-22,05COAHUILA                           ,05030SALTILLO,U,865,Guardería Los Pinos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
31,abr-22,05COAHUILA                           ,05002ACUÑA,U,1251,Guardería Angelitos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,5,10
32,abr-22,06COLIMA                             ,06002COLIMA,U,1137,"Chami, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
33,abr-22,06COLIMA                             ,06010VILLA DE ÁLVAREZ,U,1138,"Centro Infantil para Hijos de Madres Aseguradas Guardería y Jardín de Niños, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,39,37,94.87%,4,8
34,abr-22,10DURANGO                            ,10005DURANGO,U,586,Estancia Infantil Pinzintli,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
35,abr-22,10DURANGO                            ,10005DURANGO,U,1550,Guarderías Lumy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,8,16
36,abr-22,15MÉXICO,15104TLALNEPANTLA DE BAZ,U,592,"Kínder y Guardería Miguelito, S.C.",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,38,97.44%,7,14
37,abr-22,15MÉXICO,15109TULTITLÁN,U,595,"Guardería Infantil YDY, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
38,abr-22,15MÉXICO,15024CUAUTITLÁN,U,598,"Cuidados Maternales, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,3,6
39,abr-22,15MÉXICO,15104TLALNEPANTLA DE BAZ,U,599,"Guardería Infantil Pirámide, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,3,6
40,abr-22,15MÉXICO,15070LA PAZ,U,602,"Centro Educativo Infantil Karpeti, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,5,10
41,abr-22,15MÉXICO,15020COACALCO DE BERRIOZÁBAL  ,U,603,"Rudelú, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
42,abr-22,15MÉXICO,15020COACALCO DE BERRIOZÁBAL  ,U,604,"Nilya, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,5,10
43,abr-22,15MÉXICO,15101TIANGUISTENCO,U,845,"Guarderia Infantil Santiago Tianguistenco, A.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
44,abr-22,15MÉXICO,15048JOCOTITLÁN,U,900,"Convivencia y Educación Infantil Pasteje, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,5,10
45,abr-22,15MÉXICO,15048JOCOTITLÁN,U,902,"Convivencia y Educación Infantil Pasteje, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
46,abr-22,15MÉXICO,15106TOLUCA,U,1187,"Centro de Desarrollo Infantil Mi Escuelita, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
47,abr-22,11GUANAJUATO                         ,11017IRAPUATO,U,306,Formación Infantil,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
48,abr-22,11GUANAJUATO                         ,11020LEÓN,U,324,Instituto Nezahualcoyotl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,3,6
49,abr-22,11GUANAJUATO                         ,11015GUANAJUATO,U,325,Instituto Guanajuatense para la Educación,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,5,10
50,abr-22,11GUANAJUATO                         ,11020LEÓN,U,367,Infancia Feliz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
51,abr-22,11GUANAJUATO                         ,11020LEÓN,U,368,Estancia Infantil Paraíso,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
52,abr-22,11GUANAJUATO                         ,11017IRAPUATO,U,1108,Estancia Infantil Tercer Mileno,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,39,34,87.18%,4,8
53,abr-22,11GUANAJUATO                         ,11037SILAO DE LA VICTORIA       ,U,1482,CDI          ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
54,abr-22,12GUERRERO                           ,12001ACAPULCO DE JUÁREZ,U,230,"Centro de Desarrollo Infantil Vicente Guerrero, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
55,abr-22,12GUERRERO                           ,12035IGUALA DE LA INDEPENDENCIA,U,231,Estancias Infantiles de Iguala,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
56,abr-22,13HIDALGO                            ,13003ACTOPAN,U,253,"Guardería Mágico, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
57,abr-22,13HIDALGO                            ,13048PACHUCA DE SOTO    ,U,455,"Guardería y Jardín de Niños El Rey Arturo, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
58,abr-22,14JALISCO                            ,14120ZAPOPAN,U,1065,Atención Infantil Profesional,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,39,38,97.44%,3,6
59,abr-22,14JALISCO                            ,14015AUTLÁN DE NAVARRO,U,1069,"Centro de Desarrollo Infantil Autlán, A.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
60,abr-22,14JALISCO                            ,14039GUADALAJARA,U,1071,Estancia de Desarrollo y Bienestar Infantil,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,39,38,97.44%,3,6
61,abr-22,14JALISCO                            ,14097TLAJOMULCO DE ZÚÑIGA,U,1073,Estancias Educativas Froebel (La Tijera),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
62,abr-22,14JALISCO                            ,14098SAN PEDRO TLAQUEPAQUE         ,U,1076,Castillo Mágico,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
63,abr-22,14JALISCO                            ,14039GUADALAJARA,U,1077,Estancia y Desarrollo Infantil San José,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
64,abr-22,16MICHOACÁN DE OCAMPO                         ,16102URUAPAN,U,128,"Guardería Infantil Paulita, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
65,abr-22,16MICHOACÁN DE OCAMPO                         ,16069LA PIEDAD,U,545,"Estancias Infantiles La Piedad, A.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
66,abr-22,16MICHOACÁN DE OCAMPO                         ,16053MORELIA,U,546,Guardería Infantil El Árbol de los Sueños,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
67,abr-22,16MICHOACÁN DE OCAMPO                         ,16107ZACAPU,U,689,"Estancia Infantil El Ricón de los Sueños, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,8,16
68,abr-22,17MORELOS                            ,17006CUAUTLA,U,816,Antonio Caso,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
69,abr-22,17MORELOS                            ,17007CUERNAVACA,U,817,CENDIU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
70,abr-22,17MORELOS                            ,17011JIUTEPEC,U,818,Niños Felices,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
71,abr-22,18NAYARIT                       ,18015SANTIAGO IXCUINTLA,U,648,Niños de Ixcuintla,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
72,abr-22,18NAYARIT                       ,18018TUXPAN   ,U,649,"Centro Educativo y Cuidado Infantil de Tuxpan, Nayarit",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
73,abr-22,18NAYARIT                       ,18001ACAPONETA,U,651,Guardería del Niño Asegurado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,5,10
74,abr-22,19NUEVO LEÓN                           ,19026GUADALUPE,U,1495,Guía Infantil,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,5,10
75,abr-22,19NUEVO LEÓN                           ,19021GENERAL ESCOBEDO,U,773,"Guardería y Jardín de Niños Dany, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,39,37,94.87%,5,10
76,abr-22,19NUEVO LEÓN                           ,19019SAN PEDRO GARZA GARCÍA       ,U,1581,Entretenimiento Kids,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,39,19,48.72%,7,14
77,abr-22,19NUEVO LEÓN                           ,19039MONTERREY,U,1392,"Minimí, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
78,abr-22,19NUEVO LEÓN                           ,19039MONTERREY,U,762,"Jardín de Niños y Guardería Juan Escutia, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
79,abr-22,19NUEVO LEÓN                           ,19039MONTERREY,U,1277,Nuestra Señora del Perpetuo Socorro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,5,10
80,abr-22,20OAXACA                        ,20413SANTA MARÍA HUATULCO,U,896,"La Crucecita, A.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
81,abr-22,21PUEBLA                            ,21174TEZIUTLÁN,U,723,Guardería Infantil Mundo Feliz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
82,abr-22,21PUEBLA                            ,21132SAN MARTÍN TEXMELUCAN                                  ,U,1152,Patronato de Guard. Participativas de Texmelucan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,9,18
83,abr-22,22QUERÉTARO                   ,22014QUERÉTARO,U,576,CENDI Tintero,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
84,abr-22,22QUERÉTARO                   ,22014QUERÉTARO,U,577,Giocare Satelite,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
85,abr-22,22QUERÉTARO                   ,22014QUERÉTARO,U,681,Guardería El Porvenir,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
86,abr-22,23QUINTANA ROO                      ,23005BENITO JUÁREZ         ,U,870,Centro Infantil de Desarrollo Cuqi S.C.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,6,12
87,abr-22,23QUINTANA ROO                      ,23005BENITO JUÁREZ         ,U,871,Guarderías Pequeños Risueños S.C.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,3,6
88,abr-22,24SAN LUIS POTOSÍ                   ,24013CIUDAD VALLES,U,891,"Enseñanza Avanzada Siglo XXI, S.C.",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,39,36,92.31%,4,8
89,abr-22,24SAN LUIS POTOSÍ                   ,24013CIUDAD VALLES,U,951,Estancia Infantil Santiago de los Valles,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,7,14
90,abr-22,24SAN LUIS POTOSÍ                   ,24013CIUDAD VALLES,U,952,"Estancia Infantil Santiago de los Valles, A.C.",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,38,97.44%,5,10
91,abr-22,25SINALOA                        ,25006CULIACÁN      ,U,1116,"Guardería Infantil CANACINTRA Culiacán, A.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,39,38,97.44%,6,12
92,abr-22,25SINALOA                        ,25006CULIACÁN      ,U,1396,"Estancia Infantil Crisantemos, S.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,39,100.00%,4,8
